sleep_index,correlation,p_value,n,significant
se,0.0005515660974310978,0.968772711764221,5040,False
waso,4.211752475329934e-05,0.9976148824649191,5040,False
sfi,0.019834862012768434,0.15915335960792265,5040,False
duration_secs,-0.012852756506237803,0.36162842187266087,5040,False
sri,0.00994900501207149,0.4810980021149429,5017,False
activity_idx,-0.04909197055250083,0.0004895284898374657,5040,True
