Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 948]           0.157  0.600  -1.013    1.238      0.005    0.009  15483.058  5388.526  1.001
1|id[1, 949]          -0.289  0.610  -1.462    0.848      0.005    0.008  15590.678  5409.474  1.000
1|id[1, 953]          -0.237  0.638  -1.450    0.936      0.005    0.008  16146.571  5975.706  1.002
1|id[1, 958]          -0.231  0.602  -1.382    0.863      0.005    0.007  15593.054  6243.148  1.000
1|id[1, 959]          -0.077  0.572  -1.153    1.001      0.004    0.007  16508.355  5893.178  1.001
1|id[1, 961]          -0.682  0.679  -1.934    0.632      0.005    0.008  16085.504  6038.610  1.001
1|id[1, 965]           0.786  0.607  -0.310    1.978      0.005    0.008  15909.640  5773.599  1.001
1|id[1, 966]           0.137  0.579  -0.931    1.219      0.004    0.008  17906.615  5746.646  1.001
1|id[1, 967]           0.538  0.643  -0.757    1.690      0.005    0.009  15717.277  5340.459  1.000
1|id[1, 968]          -0.356  0.633  -1.561    0.824      0.005    0.008  15147.320  5876.156  1.000
1|id[1, 970]           0.377  0.571  -0.646    1.505      0.004    0.007  16696.356  5551.553  1.001
1|id[1, 971]           0.155  0.566  -0.918    1.207      0.005    0.007  15517.400  6224.477  1.000
1|id[1, 973]           0.052  0.626  -1.117    1.200      0.005    0.008  16206.063  6392.242  1.000
1|id[1, 977]          -0.165  0.526  -1.193    0.777      0.004    0.007  15092.757  5620.332  1.001
1|id[1, 980]          -0.061  0.609  -1.270    1.043      0.005    0.008  17414.490  5177.161  1.001
1|id[1, 981]           0.727  0.598  -0.353    1.868      0.005    0.007  15221.126  5790.821  1.000
1|id[1, 989]          -0.657  0.613  -1.867    0.478      0.005    0.008  15797.998  5711.436  1.000
1|id[1, 990]           0.255  0.568  -0.808    1.342      0.005    0.007  13935.854  5812.362  1.000
1|id[1, 991]           0.215  0.559  -0.800    1.307      0.004    0.007  17503.716  6309.320  1.001
1|id[1, 995]           0.002  0.606  -1.163    1.121      0.005    0.008  15743.300  5169.981  1.001
1|id[1, 996]           0.086  0.713  -1.273    1.388      0.006    0.010  16277.446  5672.815  1.000
1|id[1, 997]          -0.032  0.694  -1.327    1.270      0.005    0.009  16608.852  5670.564  1.000
1|id[1, 1003]          0.579  0.582  -0.539    1.625      0.005    0.008  15645.999  5521.560  1.000
1|id[1, 1004]         -0.587  0.664  -1.809    0.669      0.005    0.008  17769.512  5930.173  1.000
1|id[1, 1006]          0.755  0.567  -0.336    1.800      0.005    0.006  15176.011  6100.592  1.000
1|id[1, 1013]          0.918  0.584  -0.223    1.976      0.004    0.008  18352.175  5927.004  1.001
1|id[1, 1015]          0.855  0.618  -0.258    2.073      0.005    0.008  14743.164  5424.586  1.000
1|id[1, 1034]          0.454  0.574  -0.634    1.515      0.004    0.008  17118.647  5680.092  1.000
1|id[1, 1036]          0.967  0.575  -0.110    2.064      0.005    0.007  14769.029  6228.547  1.000
1|id[1, 1037]         -0.377  0.611  -1.569    0.735      0.005    0.008  13652.142  5196.530  1.000
1|id[1, 1038]          0.855  0.574  -0.311    1.879      0.005    0.007  15731.420  6402.107  1.000
1|id[1, 1039]          0.487  0.592  -0.597    1.615      0.005    0.008  15557.511  6107.600  1.000
1|id[1, 1040]          0.360  0.581  -0.763    1.437      0.004    0.007  16955.533  6045.311  1.001
1|id[1, 1041]         -0.078  0.581  -1.196    0.980      0.005    0.008  15867.591  5759.610  1.001
1|id[1, 1042]         -0.309  0.721  -1.612    1.111      0.006    0.010  16047.783  5149.266  1.000
1|id[1, 1043]         -0.474  0.591  -1.656    0.558      0.005    0.007  15439.221  5992.586  1.000
1|id[1, 1044]         -0.275  0.636  -1.393    0.994      0.005    0.008  16148.601  5235.644  1.000
1|id[1, 1045]          0.094  0.628  -1.107    1.250      0.005    0.009  15976.021  5840.643  1.000
1|id[1, 1047]          0.086  0.627  -1.062    1.267      0.005    0.008  16294.194  5924.989  1.001
1|id[1, 1049]          0.031  0.558  -1.050    1.065      0.004    0.007  15825.522  5590.152  1.002
1|id[1, 1050]         -0.445  0.612  -1.543    0.751      0.005    0.007  16105.095  6366.561  1.001
1|id[1, 1052]         -0.271  0.581  -1.389    0.789      0.005    0.007  16547.314  5739.018  1.000
1|id[1, 1055]          0.780  0.583  -0.319    1.863      0.005    0.007  12998.713  6072.674  1.001
1|id[1, 1059]         -0.891  0.624  -2.115    0.240      0.005    0.008  17802.756  5969.830  1.000
1|id[1, 1060]         -0.524  0.625  -1.623    0.703      0.005    0.009  16140.751  5366.898  1.002
1|id[1, 1061]         -0.242  0.628  -1.442    0.919      0.005    0.008  15581.125  5641.199  1.000
1|id[1, 1081]          0.804  0.588  -0.295    1.947      0.005    0.007  16063.335  5636.153  1.000
1|id[1, 1089]          0.290  0.607  -0.861    1.424      0.005    0.008  16377.746  5386.372  1.001
1|id[1, 1100]         -0.474  0.718  -1.829    0.848      0.005    0.010  17355.117  5774.728  1.001
1|id[1, 1105]         -0.449  0.628  -1.630    0.745      0.005    0.008  15392.396  5427.650  1.001
1|id[1, 1106]         -0.482  0.737  -1.881    0.907      0.006    0.010  15937.859  5560.163  1.000
1|id[1, 1113]          0.561  0.560  -0.536    1.567      0.005    0.007  15011.298  6262.312  1.000
1|id[1, 1126]         -0.444  0.588  -1.558    0.665      0.005    0.007  15627.666  6002.617  1.001
1|id[1, 1132]          0.543  0.596  -0.547    1.686      0.005    0.008  14226.967  5539.157  1.000
1|id[1, 1140]          0.785  0.601  -0.333    1.931      0.005    0.008  16067.745  6128.254  1.000
1|id[1, 1141]         -0.102  0.592  -1.252    0.968      0.005    0.008  15553.572  5204.955  1.001
1|id[1, 1149]          0.300  0.633  -0.866    1.509      0.005    0.008  15709.880  5666.223  1.001
1|id[1, 1150]          1.153  0.621  -0.001    2.300      0.005    0.008  15975.006  6178.712  1.000
1|id[1, 1152]          0.593  0.550  -0.421    1.640      0.004    0.007  14959.303  5271.655  1.000
1|id[1, 1153]          0.600  0.566  -0.508    1.623      0.005    0.007  14077.738  5574.475  1.001
1|id[1, 1154]         -0.656  0.664  -1.848    0.643      0.005    0.008  17686.415  6330.347  1.000
1|id[1, 1156]          0.209  0.583  -0.841    1.367      0.005    0.007  14658.567  5857.979  1.000
1|id[1, 1169]          0.708  0.588  -0.397    1.795      0.005    0.007  16141.092  5670.613  1.000
1|id[1, 1170]         -0.922  0.644  -2.190    0.226      0.005    0.009  15170.472  5435.098  1.000
1|id[1, 1173]          0.535  0.571  -0.559    1.602      0.005    0.007  15452.000  5495.050  1.001
1|id[1, 1176]         -0.013  0.611  -1.186    1.096      0.005    0.008  15638.470  5733.415  1.000
1|id[1, 1177]         -1.047  0.604  -2.138    0.119      0.005    0.008  14710.206  5341.056  1.001
1|id[1, 1178]          0.367  0.738  -1.014    1.707      0.006    0.009  12974.883  5683.058  1.001
1|id[1, 1181]          0.726  0.599  -0.348    1.893      0.005    0.008  15520.775  5429.212  1.001
1|id[1, 1182]          0.806  0.676  -0.473    2.071      0.005    0.009  16809.393  5838.292  1.001
1|id[1, 1187]          0.414  0.558  -0.673    1.429      0.004    0.007  15832.130  5721.991  1.000
1|id[1, 1188]          0.585  0.637  -0.626    1.760      0.005    0.008  14520.338  5927.595  1.001
1|id[1, 1189]          0.267  0.619  -0.912    1.372      0.005    0.008  15397.728  5920.526  1.001
1|id[1, 1191]          0.011  0.607  -1.140    1.138      0.005    0.008  15804.135  5320.031  1.000
1|id[1, 1192]         -0.083  0.603  -1.234    1.035      0.005    0.007  15984.619  5942.385  1.001
1|id[1, 1196]         -0.919  0.618  -2.038    0.237      0.005    0.008  14788.908  6259.424  1.000
1|id[1, 1200]         -0.334  0.572  -1.448    0.715      0.005    0.008  15637.932  5120.327  1.001
1|id[1, 1212]          0.280  0.609  -0.863    1.416      0.005    0.008  17079.759  5200.473  1.000
1|id[1, 1215]          0.178  0.719  -1.190    1.498      0.006    0.010  16017.503  5734.364  1.001
1|id[1, 1221]         -0.364  0.723  -1.707    0.998      0.006    0.010  16942.738  5202.185  1.000
1|id[1, 1222]         -0.341  0.631  -1.534    0.821      0.005    0.008  16835.466  6335.657  1.000
1|id[1, 1231]         -0.164  0.644  -1.333    1.090      0.005    0.008  15751.520  5792.313  1.000
1|id[1, 1234]          0.050  0.604  -1.072    1.199      0.005    0.008  13954.587  5142.449  1.001
1|id[1, 1235]          0.861  0.586  -0.189    2.021      0.004    0.008  17191.221  5777.613  1.000
1|id[1, 1237]          0.531  0.591  -0.593    1.616      0.005    0.007  15753.315  6080.970  1.001
1|id[1, 1239]          0.059  0.612  -1.100    1.206      0.005    0.008  14522.337  5691.471  1.001
1|id[1, 1257]         -0.880  0.632  -2.044    0.318      0.005    0.008  14626.932  5501.636  1.000
1|id[1, 1265]          0.569  0.592  -0.563    1.668      0.004    0.008  18558.711  5738.320  1.000
1|id[1, 1267]         -0.533  0.615  -1.673    0.633      0.005    0.008  14753.998  5786.399  1.001
1|id[1, 1276]         -0.236  0.553  -1.276    0.778      0.005    0.006  13915.254  6601.072  1.001
1|id[1, 1277]         -0.072  0.582  -1.133    1.045      0.005    0.007  14776.963  6208.536  1.000
1|id[1, 1294]          0.183  0.563  -0.848    1.248      0.005    0.008  15525.712  5674.983  1.001
1|id[1, 1296]         -0.994  0.630  -2.201    0.189      0.005    0.008  15202.036  5434.255  1.001
1|id[1, 1298]         -0.247  0.577  -1.299    0.869      0.004    0.007  16704.352  6079.864  1.001
1|id[1, 1299]          0.625  0.565  -0.397    1.718      0.005    0.007  13573.435  5940.104  1.000
1|id[1, 1300]         -0.610  0.681  -1.849    0.709      0.006    0.010  13972.019  4970.359  1.000
1|id[1, 1303]          0.092  0.569  -0.963    1.178      0.005    0.007  13396.446  6248.982  1.000
1|id[1, 1305]          0.033  0.608  -1.145    1.138      0.005    0.008  17386.306  5323.321  1.000
1|id[1, 1306]         -0.369  0.715  -1.687    0.961      0.005    0.009  17514.917  5512.406  1.001
1|id[1, 1307]          0.585  0.617  -0.596    1.711      0.005    0.008  16159.931  6013.272  1.001
1|id[1, 1308]         -0.197  0.602  -1.373    0.887      0.005    0.008  15362.954  5733.067  1.000
1|id[1, 1309]         -0.947  0.615  -2.096    0.191      0.005    0.008  15601.830  5559.371  1.001
1|id[1, 1313]          0.218  0.596  -0.955    1.290      0.005    0.007  14727.123  6321.856  1.002
1|id[1, 1317]         -1.071  0.611  -2.177    0.075      0.005    0.008  13653.648  5416.442  1.000
1|id[1, 1318]         -0.265  0.637  -1.421    0.978      0.005    0.009  15893.881  5460.974  1.000
1|id[1, 1328]         -0.349  0.647  -1.565    0.880      0.005    0.008  15356.538  6004.758  1.000
1|id[1, 1329]          0.057  0.617  -1.111    1.219      0.005    0.008  13084.471  5333.354  1.000
1|id[1, 1331]         -0.458  0.585  -1.589    0.623      0.004    0.008  17471.864  4950.709  1.000
1|id[1, 1332]          0.541  0.594  -0.580    1.648      0.005    0.008  15009.485  6043.758  1.000
1|id[1, 1339]         -0.347  0.616  -1.441    0.860      0.005    0.007  15647.532  6136.156  1.001
1|id[1, 1340]          0.271  0.567  -0.760    1.383      0.005    0.007  15649.864  6305.568  1.001
1|id[1, 1345]         -0.495  0.607  -1.646    0.637      0.005    0.007  16422.391  5787.970  1.000
1|id[1, 1346]         -0.402  0.570  -1.480    0.698      0.005    0.008  15705.315  5110.909  1.001
1|id[1, 1348]          0.082  0.705  -1.223    1.423      0.006    0.009  15384.420  6092.948  1.000
1|id[1, 1349]         -0.436  0.712  -1.813    0.875      0.006    0.009  16050.500  5622.349  1.001
1|id[1, 1352]          0.396  0.605  -0.720    1.530      0.005    0.008  13954.942  5192.211  1.001
1|id[1, 1353]          0.510  0.621  -0.699    1.636      0.005    0.008  15804.073  5578.333  1.000
1|id[1, 1354]         -0.011  0.619  -1.152    1.151      0.005    0.008  16583.259  5177.385  1.001
1|id[1, 1355]          0.311  0.587  -0.812    1.357      0.005    0.008  15039.975  5307.738  1.002
1|id[1, 1356]         -0.570  0.595  -1.712    0.533      0.005    0.008  15308.788  5572.170  1.001
1|id[1, 1357]          0.466  0.600  -0.663    1.633      0.005    0.008  12750.958  5849.558  1.000
1|id[1, 1360]          0.095  0.612  -1.087    1.216      0.005    0.008  17187.526  6011.818  1.000
1|id[1, 1362]          0.243  0.561  -0.773    1.335      0.005    0.007  15389.570  5699.954  1.000
1|id[1, 1366]         -0.495  0.607  -1.641    0.602      0.005    0.008  18266.909  5011.135  1.000
1|id[1, 1368]          0.528  0.564  -0.518    1.610      0.005    0.007  15677.097  5327.750  1.000
1|id[1, 1369]         -0.619  0.600  -1.722    0.535      0.005    0.008  14353.367  5923.660  1.000
1|id[1, 1370]          0.047  0.631  -1.105    1.268      0.005    0.007  16349.147  6747.184  1.000
1|id[1, 1372]          0.695  0.558  -0.433    1.672      0.004    0.007  16248.532  6178.283  1.000
1|id[1, 1376]         -0.169  0.572  -1.258    0.890      0.004    0.007  16379.023  6235.146  1.000
1|id[1, 1380]         -0.687  0.593  -1.811    0.412      0.005    0.007  15867.802  5711.117  1.001
1|id[1, 1382]         -0.297  0.630  -1.454    0.923      0.005    0.009  16735.129  6054.981  1.000
1|id[1, 1384]          0.707  0.566  -0.368    1.756      0.004    0.007  16447.951  5653.897  1.001
1|id[1, 1385]          0.802  0.565  -0.231    1.894      0.004    0.007  16254.384  6107.490  1.001
1|id[1, 1386]          0.536  0.628  -0.639    1.748      0.005    0.009  15014.976  4755.703  1.001
1|id[1, 1387]          0.250  0.571  -0.822    1.331      0.004    0.007  16200.990  5601.821  1.001
1|id[1, 1389]          0.610  0.580  -0.526    1.651      0.005    0.007  14037.141  5754.087  1.000
1|id[1, 1390]         -0.169  0.581  -1.258    0.886      0.004    0.008  16949.041  5884.766  1.000
1|id[1, 1391]          0.117  0.637  -1.063    1.312      0.005    0.008  17191.884  5862.015  1.001
1|id[1, 1393]         -0.642  0.603  -1.797    0.444      0.005    0.008  15541.023  5702.431  1.000
1|id[1, 1420]          0.540  0.634  -0.719    1.657      0.005    0.009  17988.945  5957.985  1.001
1|id[1, 1421]          0.111  0.592  -1.009    1.244      0.005    0.008  15876.303  5676.586  1.001
1|id[1, 1422]          0.348  0.584  -0.698    1.506      0.005    0.008  16535.566  5856.807  1.000
1|id[1, 1424]          0.331  0.575  -0.803    1.350      0.005    0.007  16062.910  6098.290  1.000
1|id[1, 1425]         -0.307  0.599  -1.464    0.765      0.005    0.008  17017.437  5807.971  1.000
1|id[1, 1426]          0.310  0.652  -0.958    1.509      0.005    0.008  16117.885  5799.068  1.001
1|id[1, 1428]         -0.175  0.609  -1.283    0.990      0.005    0.008  14872.190  5771.736  1.000
1|id[1, 1429]         -0.416  0.628  -1.557    0.774      0.005    0.008  14444.001  5750.184  1.001
1|id[1, 1431]          0.275  0.644  -0.953    1.469      0.005    0.008  14765.235  5568.303  1.002
1|id[1, 1433]          0.170  0.591  -0.891    1.321      0.005    0.008  14693.696  5675.782  1.001
1|id[1, 1434]          0.240  0.565  -0.851    1.292      0.004    0.008  16379.914  4839.145  1.001
1|id[1, 1435]         -0.585  0.599  -1.671    0.558      0.005    0.008  17362.511  5496.645  1.001
1|id[1, 1437]          0.638  0.612  -0.569    1.752      0.005    0.008  13493.966  4829.448  1.000
1|id[1, 1443]          0.271  0.578  -0.779    1.375      0.005    0.007  14080.030  5636.926  1.001
1|id[1, 1447]         -0.271  0.638  -1.423    0.965      0.005    0.009  15918.551  5993.381  1.000
1|id[1, 1448]         -0.460  0.564  -1.517    0.589      0.004    0.008  17070.557  5537.602  1.000
1|id[1, 1449]          0.096  0.590  -1.001    1.204      0.005    0.007  14288.892  6500.618  1.002
1|id[1, 1454]         -0.474  0.606  -1.625    0.663      0.005    0.007  14510.855  5870.434  1.001
1|id[1, 1456]         -0.624  0.668  -1.892    0.594      0.005    0.008  16733.073  5867.107  1.002
1|id[1, 1457]         -0.517  0.608  -1.686    0.589      0.005    0.008  16824.626  5598.747  1.003
1|id[1, 1458]         -0.518  0.606  -1.650    0.640      0.005    0.008  14755.806  5766.421  1.003
1|id[1, 1459]         -0.419  0.635  -1.632    0.751      0.005    0.008  16218.243  6126.344  1.002
1|id[1, 1461]          0.450  0.589  -0.684    1.527      0.005    0.007  13536.529  6271.985  1.001
1|id[1, 1462]         -0.557  0.591  -1.624    0.587      0.005    0.008  14749.055  5612.301  1.001
1|id[1, 1464]         -0.354  0.630  -1.558    0.819      0.005    0.008  17216.472  5865.970  1.001
1|id[1, 1465]          1.516  0.584   0.480    2.680      0.005    0.008  16384.612  5874.191  1.000
1|id[1, 1467]          0.397  0.596  -0.745    1.508      0.004    0.008  19405.872  5254.858  1.001
1|id[1, 1468]          0.281  0.564  -0.764    1.375      0.004    0.007  17689.041  5783.750  1.001
1|id[1, 1469]          0.586  0.588  -0.501    1.714      0.004    0.008  17145.019  6007.424  1.000
1|id[1, 1470]          0.192  0.594  -0.955    1.284      0.005    0.008  15079.026  5340.213  1.001
1|id[1, 1472]          0.275  0.588  -0.775    1.433      0.005    0.007  16858.000  6125.908  1.000
1|id[1, 1473]          0.243  0.607  -0.987    1.310      0.005    0.008  15060.056  6080.980  1.000
1|id[1, 1476]         -0.593  0.615  -1.753    0.533      0.005    0.008  17941.697  4994.793  1.001
1|id[1, 1478]         -0.756  0.586  -1.807    0.396      0.005    0.008  16330.133  5701.393  1.000
1|id[1, 1492]         -0.476  0.603  -1.575    0.690      0.005    0.008  14266.831  5572.971  1.000
1|id[1, 1518]         -0.496  0.614  -1.640    0.654      0.005    0.008  15084.040  5288.008  1.001
1|id[1, 1549]         -0.519  0.614  -1.643    0.644      0.004    0.008  18608.874  5937.384  1.000
1|id[1, 1555]          0.038  0.672  -1.219    1.305      0.005    0.009  16538.597  5788.311  1.002
1|id[1, 1559]          0.300  0.571  -0.785    1.358      0.005    0.007  14052.562  6233.898  1.000
1|id[1, 1560]          0.243  0.644  -0.968    1.487      0.005    0.008  15829.103  5989.484  1.001
1|id[1, 1561]         -0.176  0.589  -1.312    0.884      0.005    0.007  15078.159  5408.880  1.002
1|id[1, 1563]          0.682  0.641  -0.521    1.873      0.005    0.008  16827.779  5936.216  1.001
1|id[1, 1564]          0.513  0.579  -0.551    1.612      0.004    0.008  17642.382  5876.670  1.001
1|id[1, 1565]          0.477  0.589  -0.647    1.575      0.005    0.007  17150.963  5899.069  1.001
1|id[1, 1566]          0.112  0.550  -0.912    1.153      0.004    0.008  17029.795  6066.915  1.000
1|id[1, 1572]          0.185  0.626  -1.023    1.298      0.005    0.008  16229.188  6166.847  1.001
1|id[1, 1574]         -0.065  0.662  -1.313    1.182      0.005    0.010  17273.502  4996.655  1.001
1|id[1, 1577]          0.298  0.596  -0.900    1.356      0.005    0.008  16449.230  5825.377  1.001
1|id[1, 1580]          0.124  0.640  -1.076    1.308      0.005    0.008  14483.212  5445.242  1.001
1|id[1, 1585]          0.556  0.625  -0.597    1.744      0.005    0.008  17140.604  5058.728  1.001
1|id[1, 1587]         -0.566  0.586  -1.649    0.564      0.005    0.008  14559.210  5624.729  1.000
1|id[1, 1588]         -0.494  0.676  -1.755    0.757      0.005    0.009  17596.262  5692.514  1.001
1|id[1, 1591]         -0.236  0.595  -1.369    0.871      0.005    0.008  13049.526  5622.030  1.000
1|id[1, 1592]         -0.410  0.627  -1.621    0.744      0.005    0.008  14332.366  6027.500  1.000
1|id[1, 1593]          0.335  0.653  -0.903    1.542      0.005    0.009  19065.801  5384.044  1.000
1|id[1, 1595]         -0.331  0.622  -1.451    0.842      0.005    0.007  15732.867  6090.762  1.001
1|id[1, 1596]         -0.198  0.751  -1.592    1.240      0.006    0.011  17771.377  5564.907  1.000
1|id[1, 1597]          0.467  0.627  -0.647    1.722      0.005    0.008  15689.297  6144.037  1.002
1|id[1, 1598]          0.304  0.579  -0.737    1.450      0.005    0.007  15589.805  6107.231  1.000
1|id[1, 1600]          0.321  0.557  -0.731    1.364      0.004    0.008  16229.671  4536.462  1.001
1|id[1, 1601]          0.011  0.545  -1.000    1.037      0.004    0.007  16417.567  6017.305  1.000
1|id[1, 1604]          0.015  0.595  -1.123    1.108      0.005    0.008  16216.086  4964.274  1.001
1|id[1, 1611]         -0.591  0.678  -1.927    0.613      0.006    0.008  14719.360  5449.824  1.000
1|id[1, 1638]          0.134  0.615  -1.056    1.267      0.005    0.008  14874.270  5868.581  1.000
1|id[1, 1639]         -0.291  0.650  -1.492    0.900      0.005    0.008  14747.187  5667.832  1.001
1|id[1, 1640]         -0.206  0.582  -1.326    0.872      0.005    0.008  16080.083  5925.353  1.000
1|id[1, 1641]         -0.600  0.613  -1.767    0.518      0.005    0.008  16415.896  4821.744  1.001
1|id[1, 1642]         -0.629  0.626  -1.812    0.514      0.005    0.008  14348.600  6012.982  1.000
1|id[1, 1647]         -0.324  0.636  -1.535    0.872      0.005    0.008  13450.132  6387.429  1.000
1|id[1, 1648]          0.273  0.591  -0.811    1.438      0.005    0.008  14493.686  5728.905  1.000
1|id[1, 1650]         -0.137  0.580  -1.201    0.966      0.005    0.007  13459.980  6180.162  1.000
1|id[1, 1654]          0.649  0.617  -0.538    1.794      0.005    0.008  16933.158  6197.979  1.000
1|id[1, 1657]         -0.572  0.697  -1.909    0.740      0.005    0.009  16982.795  5288.718  1.001
1|id[1, 1659]          0.148  0.601  -0.963    1.294      0.005    0.008  14901.316  5759.865  1.001
1|id[1, 1662]          0.172  0.596  -0.951    1.298      0.005    0.007  14270.474  6299.420  1.000
1|id[1, 1678]          0.340  0.767  -1.046    1.858      0.006    0.011  17035.377  4857.588  1.001
1|id[1, 1679]          0.992  0.577  -0.153    2.039      0.005    0.007  15250.181  5704.874  1.000
1|id[1, 1684]          0.479  0.621  -0.632    1.705      0.005    0.008  15927.969  5084.120  1.003
1|id[1, 1688]         -0.703  0.630  -1.904    0.465      0.005    0.009  16450.862  5778.635  1.000
1|id[1, 1690]         -0.120  0.683  -1.449    1.133      0.005    0.009  16562.323  5446.590  1.000
1|id[1, 1691]          0.190  0.563  -0.812    1.296      0.005    0.008  14422.271  5134.716  1.001
1|id[1, 1694]          0.401  0.564  -0.702    1.431      0.004    0.007  17922.862  5751.648  1.000
1|id[1, 1695]         -0.220  0.643  -1.385    1.034      0.005    0.008  15975.321  5800.719  1.001
1|id[1, 1699]         -0.819  0.635  -2.041    0.334      0.005    0.008  15692.144  5905.484  1.001
1|id[1, 1700]         -0.647  0.661  -1.974    0.535      0.005    0.009  17195.348  5744.695  1.000
1|id[1, 1701]         -0.917  0.628  -2.123    0.232      0.005    0.008  15526.979  5755.781  1.001
1|id[1, 1704]          0.322  0.564  -0.765    1.358      0.004    0.007  16323.860  6252.852  1.000
1|id[1, 1710]         -0.038  0.582  -1.100    1.060      0.004    0.007  16726.691  6057.212  1.001
1|id[1, 1714]          0.301  0.619  -0.810    1.505      0.005    0.008  14465.112  5603.258  1.000
1|id[1, 1715]          0.337  0.635  -0.810    1.559      0.005    0.008  16759.981  6177.132  1.000
1|id[1, 1716]          0.659  0.624  -0.533    1.795      0.005    0.008  14824.982  5713.470  1.001
1|id[1, 1717]          0.309  0.618  -0.844    1.454      0.005    0.008  15779.899  6077.359  1.001
1|id[1, 1718]          0.694  0.624  -0.482    1.854      0.005    0.008  14990.709  5898.363  1.000
1|id[1, 1719]         -0.681  0.677  -1.972    0.566      0.006    0.009  14390.516  5515.021  1.000
1|id[1, 1720]         -0.034  0.634  -1.231    1.152      0.005    0.008  14209.882  5892.285  1.001
1|id[1, 1721]          0.152  0.624  -1.033    1.278      0.005    0.008  16425.064  6012.900  1.000
1|id[1, 1722]         -0.409  0.650  -1.612    0.848      0.005    0.009  17953.800  5760.418  1.000
1|id[1, 1723]         -0.040  0.636  -1.210    1.197      0.005    0.009  14254.804  5102.745  1.002
1|id[1, 1724]         -0.278  0.659  -1.472    0.977      0.005    0.008  15247.040  6439.994  1.001
1|id[1, 1725]         -0.662  0.658  -1.939    0.547      0.005    0.008  16265.287  5939.409  1.000
1|id[1, 1727]         -0.021  0.603  -1.143    1.121      0.005    0.008  16782.404  5769.321  1.000
1|id[1, 1731]         -0.523  0.609  -1.655    0.646      0.004    0.008  18461.818  6089.397  1.001
1|id[1, 1735]          0.156  0.569  -0.949    1.178      0.004    0.008  16160.846  5692.301  1.003
1|id[1, 1737]          0.361  0.569  -0.685    1.450      0.005    0.008  16003.345  6065.723  1.002
1|id[1, 1739]         -0.415  0.610  -1.574    0.705      0.005    0.008  14928.330  5870.105  1.000
1|id[1, 1740]          0.631  0.586  -0.510    1.673      0.005    0.008  14484.372  5864.056  1.001
1|id[1, 1741]          0.453  0.581  -0.684    1.483      0.005    0.007  14138.512  5748.513  1.000
1|id[1, 1742]         -0.166  0.653  -1.394    1.028      0.005    0.009  17516.217  5887.238  1.002
1|id[1, 1743]         -0.780  0.645  -1.973    0.448      0.005    0.008  15724.133  6154.408  1.000
1|id[1, 1744]          0.577  0.630  -0.646    1.707      0.005    0.009  16299.749  5420.650  1.001
1|id[1, 1745]          0.888  0.599  -0.202    2.034      0.005    0.008  17538.592  5538.207  1.001
1|id[1, 1746]         -0.868  0.632  -2.073    0.298      0.005    0.008  15159.748  5728.727  1.000
1|id[1, 1747]          0.195  0.653  -0.983    1.485      0.005    0.009  15967.299  5725.995  1.001
1|id[1, 1748]          0.245  0.600  -0.867    1.386      0.005    0.008  15858.293  5539.279  1.000
1|id[1, 1749]          0.435  0.572  -0.601    1.520      0.005    0.007  16021.397  6410.707  1.000
1|id[1, 1750]         -0.383  0.628  -1.534    0.852      0.005    0.010  17602.855  4384.026  1.001
1|id[1, 1752]         -0.414  0.622  -1.568    0.766      0.005    0.008  16115.712  5499.024  1.001
1|id[1, 1755]         -0.376  0.714  -1.724    0.961      0.006    0.010  14786.585  5604.995  1.001
1|id[1, 1756]          0.816  0.584  -0.288    1.903      0.004    0.008  17218.968  6299.887  1.001
1|id[1, 1757]          0.483  0.592  -0.605    1.597      0.005    0.007  17044.084  5787.102  1.000
1|id[1, 1758]          0.104  0.628  -1.066    1.288      0.005    0.008  16349.079  5071.013  1.001
1|id[1, 1759]         -0.434  0.626  -1.624    0.710      0.005    0.008  14693.082  5774.753  1.000
1|id[1, 1761]          0.243  0.585  -0.813    1.402      0.005    0.008  12867.333  5740.275  1.001
1|id[1, 1763]          0.278  0.627  -0.936    1.414      0.005    0.008  13478.553  5624.879  1.000
1|id[1, 1764]         -0.139  0.674  -1.445    1.076      0.005    0.009  15887.268  5655.879  1.001
1|id[1, 1765]          1.209  0.604   0.063    2.308      0.005    0.008  16078.062  5891.244  1.000
1|id[1, 1766]          0.286  0.567  -0.772    1.326      0.004    0.007  18364.502  5700.482  1.000
1|id[1, 1767]          0.167  0.602  -0.972    1.297      0.005    0.008  15899.283  5314.708  1.000
1|id[1, 1768]          0.016  0.628  -1.161    1.190      0.005    0.008  15929.718  6397.452  1.000
1|id[1, 1770]          0.497  0.596  -0.642    1.622      0.005    0.008  15862.549  5354.312  1.002
1|id[1, 1771]         -0.884  0.635  -2.134    0.258      0.005    0.008  15182.030  5597.406  1.000
1|id[1, 1772]          1.169  0.632   0.018    2.364      0.005    0.008  14168.547  6124.743  1.000
1|id[1, 1773]          0.558  0.583  -0.581    1.597      0.004    0.007  16820.980  6027.636  1.000
1|id[1, 1775]          0.068  0.614  -1.085    1.206      0.005    0.008  16831.119  5632.814  1.001
1|id[1, 1781]          0.884  0.601  -0.297    1.973      0.005    0.008  17080.265  5345.989  1.000
1|id[1, 1788]          0.206  0.643  -0.985    1.410      0.005    0.008  15267.112  5714.259  1.000
