Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 233]           0.134  0.574  -0.997    1.174      0.004    0.008  16778.174  4935.654  1.000
1|id[1, 234]           0.472  0.572  -0.629    1.538      0.005    0.007  14136.632  6110.962  1.000
1|id[1, 235]           0.085  0.712  -1.297    1.380      0.005    0.009  16923.859  5838.700  1.000
1|id[1, 236]          -0.040  0.683  -1.310    1.259      0.005    0.009  16179.445  5053.514  1.000
1|id[1, 240]          -0.492  0.604  -1.642    0.612      0.005    0.008  16428.903  4808.201  1.000
1|id[1, 256]           0.772  0.583  -0.309    1.860      0.005    0.007  15950.332  5965.698  1.000
1|id[1, 281]          -0.025  0.621  -1.199    1.118      0.004    0.008  20326.162  5398.813  1.001
1|id[1, 296]           0.030  0.666  -1.283    1.217      0.005    0.010  16184.970  4438.358  1.000
1|id[1, 304]          -0.632  0.669  -1.950    0.582      0.005    0.009  16111.361  5362.737  1.001
1|id[1, 305]          -0.544  0.608  -1.664    0.612      0.005    0.009  14592.503  4987.266  1.000
1|id[1, 307]           1.358  0.590   0.297    2.499      0.005    0.008  14744.828  4790.488  1.000
1|id[1, 309]           0.323  0.628  -0.834    1.499      0.005    0.008  17508.719  5477.966  1.000
1|id[1, 310]           0.542  0.636  -0.710    1.689      0.006    0.008  12459.520  5522.164  1.002
1|id[1, 311]          -0.934  0.623  -2.186    0.167      0.005    0.008  15784.462  5467.365  1.001
1|id[1, 312]          -0.577  0.664  -1.821    0.682      0.005    0.009  14717.434  5678.583  1.001
1|id[1, 314]           0.304  0.608  -0.782    1.470      0.005    0.008  15802.801  5782.214  1.001
1|id[1, 316]           0.509  0.603  -0.619    1.639      0.005    0.008  17047.615  5971.891  1.000
1|id[1, 320]          -0.195  0.752  -1.615    1.183      0.006    0.011  16114.330  4797.414  1.001
1|id[1, 325]          -0.409  0.697  -1.752    0.902      0.005    0.010  18560.047  5376.098  1.001
