,mean,scale
abs_chronotype_desync,0.7552367573146923,0.8331507277370246
age,46.427347020131556,15.064314767944587
chronotype_desync,-0.001036623627813587,1.124509502022726
se,81.23130157464621,14.441248075006065
sfi,1.1182858281841737,0.661328333028799
sri,71.66299827899556,14.441979233743744
waso,87.77376918477178,65.47365978146735
