Target relationship: se -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + chronotype_desync + se + sfi + sri + waso + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.139  0.044  -0.219   -0.056      0.000    0.000  13191.520  6718.465  1.001
abs_chronotype_desync[2] -0.072  0.044  -0.154    0.012      0.000    0.000  13123.522  7124.271  1.000
1|id[1, 959]             -0.077  0.603  -1.194    1.067      0.005    0.009  17547.089  5510.162  1.000
1|id[1, 961]             -0.589  0.666  -1.914    0.584      0.005    0.008  16653.841  6052.991  1.000
1|id[1, 965]              0.700  0.605  -0.457    1.829      0.004    0.008  18525.050  5509.864  1.000
1|id[1, 966]              0.107  0.568  -0.944    1.215      0.005    0.007  15930.506  5912.203  1.002
1|id[1, 967]              0.657  0.656  -0.563    1.893      0.005    0.009  19058.454  5721.562  1.000
1|id[1, 968]             -0.397  0.636  -1.542    0.826      0.005    0.007  18018.652  6408.882  1.000
1|id[1, 970]              0.482  0.582  -0.668    1.523      0.005    0.008  16137.276  5539.718  1.000
1|id[1, 971]              0.123  0.576  -0.975    1.189      0.004    0.008  17304.040  5677.465  1.001
1|id[1, 973]              0.081  0.632  -1.076    1.283      0.005    0.008  18530.882  5913.205  1.000
1|id[1, 977]             -0.170  0.540  -1.254    0.805      0.004    0.007  16404.497  5675.672  1.001
1|id[1, 980]             -0.121  0.601  -1.308    0.972      0.004    0.008  19430.919  4972.703  1.001
1|id[1, 981]              0.675  0.584  -0.413    1.782      0.005    0.007  15774.740  5914.395  1.001
1|id[1, 989]             -0.415  0.620  -1.562    0.778      0.005    0.008  18342.601  5540.975  1.001
1|id[1, 990]              0.145  0.567  -0.895    1.228      0.004    0.007  17093.237  6142.425  1.000
1|id[1, 991]              0.216  0.562  -0.850    1.261      0.004    0.007  15949.541  6275.047  1.001
1|id[1, 995]             -0.161  0.602  -1.299    0.979      0.005    0.008  16711.306  5433.754  1.001
1|id[1, 996]              0.165  0.702  -1.190    1.468      0.006    0.010  14672.268  5538.794  1.000
1|id[1, 997]             -0.075  0.686  -1.398    1.220      0.005    0.010  18513.196  5065.595  1.002
1|id[1, 1003]             0.517  0.582  -0.565    1.621      0.005    0.008  16632.968  5117.143  1.001
1|id[1, 1004]            -0.608  0.665  -1.829    0.698      0.005    0.009  17535.723  5431.670  1.001
1|id[1, 1006]             0.779  0.567  -0.302    1.805      0.004    0.008  16923.047  5262.892  1.001
1|id[1, 1013]             0.937  0.609  -0.203    2.056      0.005    0.008  16827.961  6075.661  1.000
1|id[1, 1015]             0.908  0.620  -0.267    2.084      0.005    0.008  17648.200  5541.859  1.001
1|id[1, 1034]             0.253  0.574  -0.872    1.287      0.005    0.008  16069.565  5582.070  1.001
1|id[1, 1036]             0.874  0.586  -0.140    2.058      0.005    0.007  15199.704  5850.563  1.000
1|id[1, 1037]            -0.495  0.613  -1.655    0.643      0.005    0.008  14754.922  5971.603  1.003
1|id[1, 1038]             0.735  0.586  -0.402    1.798      0.005    0.007  15445.002  5883.942  1.000
1|id[1, 1039]             0.431  0.593  -0.728    1.506      0.004    0.007  18141.417  6355.384  1.000
1|id[1, 1040]             0.419  0.572  -0.739    1.427      0.004    0.007  18136.204  5710.178  1.000
1|id[1, 1041]            -0.045  0.571  -1.140    1.005      0.004    0.007  17130.199  5979.706  1.001
1|id[1, 1042]            -0.360  0.718  -1.648    1.065      0.005    0.011  19452.228  5188.638  1.001
1|id[1, 1043]            -0.529  0.594  -1.707    0.537      0.005    0.008  17013.783  5507.602  1.000
1|id[1, 1044]            -0.121  0.655  -1.413    1.037      0.005    0.009  17298.391  5332.767  1.001
1|id[1, 1045]             0.107  0.624  -1.042    1.279      0.005    0.009  18602.673  5938.137  1.001
1|id[1, 1047]             0.167  0.618  -0.989    1.296      0.005    0.008  17300.114  5864.158  1.001
1|id[1, 1049]            -0.034  0.568  -1.112    1.002      0.004    0.007  18519.043  5757.845  1.002
1|id[1, 1050]            -0.418  0.616  -1.620    0.673      0.005    0.008  15959.943  6269.166  1.000
1|id[1, 1052]            -0.370  0.600  -1.459    0.804      0.005    0.008  15598.251  5921.445  1.001
1|id[1, 1055]             0.829  0.579  -0.290    1.886      0.005    0.007  15122.816  6582.176  1.002
1|id[1, 1059]            -1.083  0.612  -2.223    0.090      0.005    0.008  16900.222  5117.422  1.001
1|id[1, 1060]            -0.358  0.624  -1.566    0.762      0.005    0.008  17955.798  6071.059  1.001
1|id[1, 1061]            -0.365  0.630  -1.584    0.784      0.005    0.008  15733.013  5498.278  1.001
1|id[1, 1081]             0.823  0.602  -0.287    1.981      0.005    0.009  17140.602  5458.444  1.001
1|id[1, 1089]             0.230  0.614  -0.848    1.476      0.005    0.008  17886.839  5553.502  1.000
1|id[1, 1100]            -0.462  0.724  -1.797    0.902      0.005    0.010  20434.827  5413.643  1.001
1|id[1, 1105]            -0.382  0.619  -1.559    0.710      0.005    0.008  15262.442  5567.539  1.001
1|id[1, 1106]            -0.460  0.704  -1.845    0.797      0.005    0.010  17743.038  5792.477  1.000
1|id[1, 1113]             0.775  0.568  -0.284    1.843      0.005    0.007  14684.993  5655.371  1.001
1|id[1, 1126]            -0.304  0.583  -1.444    0.772      0.004    0.008  17113.066  5632.765  1.002
1|id[1, 1132]             0.490  0.600  -0.625    1.625      0.005    0.008  16019.490  5729.280  1.001
1|id[1, 1140]             0.744  0.604  -0.387    1.872      0.005    0.008  17847.568  5803.076  1.001
1|id[1, 1141]            -0.182  0.599  -1.338    0.892      0.004    0.007  18588.316  5878.563  1.001
1|id[1, 1149]             0.256  0.663  -0.957    1.501      0.005    0.008  16145.483  5847.034  1.001
1|id[1, 1150]             1.188  0.630   0.073    2.438      0.005    0.009  16013.417  5682.894  1.000
1|id[1, 1152]             0.504  0.546  -0.571    1.489      0.004    0.007  15169.302  5830.619  1.000
1|id[1, 1153]             0.531  0.578  -0.548    1.627      0.004    0.008  17989.678  5826.846  1.001
1|id[1, 1154]            -0.606  0.668  -1.878    0.609      0.005    0.008  16142.415  5948.130  1.000
1|id[1, 1156]             0.199  0.601  -0.979    1.260      0.005    0.007  16541.512  5930.503  1.000
1|id[1, 1169]             0.582  0.568  -0.468    1.675      0.004    0.007  16048.530  6002.199  1.000
1|id[1, 1170]            -0.872  0.654  -2.092    0.378      0.005    0.009  15750.939  5217.330  1.001
1|id[1, 1173]             0.630  0.572  -0.475    1.690      0.004    0.008  18584.792  5521.350  1.001
1|id[1, 1176]             0.036  0.622  -1.113    1.199      0.005    0.009  16688.753  5594.484  1.001
1|id[1, 1177]            -0.978  0.621  -2.111    0.215      0.005    0.008  16569.492  5831.686  1.001
1|id[1, 1178]             0.324  0.762  -1.178    1.670      0.006    0.011  17227.101  5978.264  1.001
1|id[1, 1181]             0.526  0.593  -0.627    1.614      0.004    0.009  19486.668  5563.435  1.000
1|id[1, 1182]             0.848  0.693  -0.465    2.104      0.005    0.009  20995.602  5417.453  1.001
1|id[1, 1187]             0.143  0.563  -1.002    1.133      0.005    0.007  14937.219  6084.976  1.000
1|id[1, 1188]             0.503  0.650  -0.706    1.717      0.005    0.008  16853.344  5781.962  1.001
1|id[1, 1189]             0.126  0.637  -1.075    1.284      0.005    0.008  16829.038  5798.893  1.002
1|id[1, 1191]            -0.073  0.614  -1.249    1.063      0.005    0.008  16273.425  5752.488  1.002
1|id[1, 1192]            -0.129  0.592  -1.266    0.962      0.004    0.007  19210.870  6156.962  1.001
1|id[1, 1196]            -0.724  0.658  -1.979    0.502      0.005    0.010  16627.990  4975.070  1.000
1|id[1, 1200]            -0.387  0.575  -1.467    0.684      0.005    0.007  15621.989  6115.675  1.000
1|id[1, 1212]             0.359  0.591  -0.748    1.454      0.005    0.008  16330.421  6174.327  1.000
1|id[1, 1215]             0.240  0.714  -1.126    1.545      0.005    0.009  18762.240  5578.619  1.001
1|id[1, 1221]            -0.407  0.728  -1.746    0.971      0.005    0.011  19025.111  5653.943  1.002
1|id[1, 1222]            -0.284  0.637  -1.489    0.897      0.005    0.008  17864.203  6053.104  1.001
1|id[1, 1231]            -0.187  0.653  -1.443    1.011      0.005    0.009  15684.654  5493.159  1.000
1|id[1, 1234]            -0.037  0.588  -1.107    1.100      0.005    0.008  15619.046  5468.946  1.000
1|id[1, 1235]             0.788  0.580  -0.314    1.865      0.005    0.007  15706.225  5767.302  1.000
1|id[1, 1237]             0.522  0.589  -0.618    1.576      0.005    0.008  16560.167  5471.186  1.001
1|id[1, 1239]            -0.041  0.581  -1.127    1.045      0.004    0.007  18606.206  5880.704  1.001
1|id[1, 1257]            -0.939  0.612  -2.078    0.216      0.005    0.008  15632.651  6111.551  1.000
1|id[1, 1265]             0.680  0.606  -0.390    1.887      0.005    0.008  16677.313  5365.148  1.000
1|id[1, 1267]            -0.411  0.626  -1.543    0.832      0.005    0.009  18190.937  5217.276  1.001
1|id[1, 1276]             0.236  0.555  -0.783    1.287      0.005    0.006  13760.476  6538.692  1.001
1|id[1, 1277]             0.253  0.577  -0.842    1.332      0.004    0.008  17689.109  5715.862  1.001
1|id[1, 1294]             0.261  0.571  -0.794    1.341      0.004    0.008  16936.804  5227.351  1.001
1|id[1, 1296]            -1.134  0.620  -2.278    0.037      0.005    0.008  17532.191  5398.716  1.001
1|id[1, 1298]            -0.275  0.570  -1.342    0.773      0.004    0.008  18782.111  5431.383  1.000
1|id[1, 1299]             0.480  0.598  -0.586    1.667      0.004    0.008  19136.819  5453.833  1.000
1|id[1, 1300]            -0.473  0.687  -1.801    0.794      0.006    0.010  15444.410  5230.683  1.001
1|id[1, 1303]             0.199  0.586  -0.890    1.308      0.004    0.008  17897.022  5114.764  1.002
1|id[1, 1305]            -0.185  0.617  -1.348    0.991      0.005    0.008  18767.895  6192.645  1.001
1|id[1, 1306]            -0.404  0.704  -1.785    0.866      0.005    0.010  16749.055  6020.264  1.002
1|id[1, 1307]             0.530  0.604  -0.649    1.602      0.004    0.008  18341.733  5856.511  1.000
1|id[1, 1308]            -0.035  0.612  -1.172    1.097      0.005    0.008  16583.967  5395.189  1.001
1|id[1, 1309]            -0.852  0.635  -2.078    0.296      0.005    0.008  19227.105  5834.897  1.000
1|id[1, 1313]             0.254  0.592  -0.905    1.299      0.005    0.007  16427.660  5795.295  1.001
1|id[1, 1317]            -0.922  0.642  -2.100    0.304      0.005    0.008  17590.524  5428.502  1.001
1|id[1, 1318]            -0.190  0.671  -1.407    1.094      0.005    0.009  20053.670  5461.610  1.001
1|id[1, 1328]            -0.290  0.643  -1.543    0.861      0.005    0.008  15922.329  6018.150  1.002
1|id[1, 1329]             0.044  0.618  -1.157    1.176      0.005    0.008  18606.509  5983.146  1.000
1|id[1, 1331]            -0.366  0.571  -1.446    0.713      0.004    0.007  19349.078  6314.080  1.000
1|id[1, 1332]             0.627  0.587  -0.447    1.783      0.005    0.007  16114.762  5783.784  1.000
1|id[1, 1339]            -0.212  0.645  -1.433    0.982      0.005    0.008  16966.944  6344.943  1.001
1|id[1, 1340]             0.445  0.575  -0.608    1.528      0.005    0.007  15980.591  6488.176  1.001
1|id[1, 1345]            -0.475  0.606  -1.623    0.659      0.005    0.008  17964.791  5793.798  1.000
1|id[1, 1346]            -0.242  0.572  -1.318    0.859      0.004    0.008  16550.452  5647.931  1.000
1|id[1, 1348]             0.113  0.727  -1.207    1.521      0.005    0.010  17557.128  5624.518  1.001
1|id[1, 1349]            -0.504  0.690  -1.870    0.726      0.005    0.009  18827.890  6057.709  1.001
1|id[1, 1352]             0.373  0.615  -0.766    1.553      0.004    0.008  20259.053  6254.712  1.001
1|id[1, 1353]             0.484  0.615  -0.702    1.618      0.004    0.009  19920.807  5212.902  1.000
1|id[1, 1354]             0.088  0.631  -1.134    1.233      0.005    0.009  18286.067  5899.446  1.002
1|id[1, 1355]             0.268  0.612  -0.840    1.462      0.004    0.008  18664.027  5943.057  1.001
1|id[1, 1356]            -0.655  0.599  -1.821    0.420      0.005    0.008  16286.956  5979.779  1.000
1|id[1, 1357]             0.320  0.582  -0.766    1.415      0.005    0.007  15477.425  6458.661  1.001
1|id[1, 1360]             0.104  0.608  -1.040    1.250      0.005    0.008  17688.750  5589.687  1.001
1|id[1, 1362]             0.457  0.566  -0.600    1.520      0.004    0.008  18148.577  5112.325  1.000
1|id[1, 1366]            -0.474  0.619  -1.683    0.641      0.005    0.009  17129.621  5646.866  1.001
1|id[1, 1368]             0.436  0.598  -0.678    1.550      0.005    0.007  17415.953  6024.722  1.001
1|id[1, 1369]            -0.689  0.600  -1.794    0.465      0.005    0.008  17820.317  5706.126  1.000
1|id[1, 1370]            -0.112  0.626  -1.296    1.032      0.005    0.007  15902.466  5742.947  1.000
1|id[1, 1372]             0.844  0.555  -0.159    1.931      0.004    0.007  17247.298  5554.780  1.001
1|id[1, 1376]            -0.198  0.584  -1.311    0.892      0.004    0.008  18598.972  6223.913  1.001
1|id[1, 1380]            -0.578  0.597  -1.714    0.518      0.005    0.008  16555.212  5733.179  1.000
1|id[1, 1382]            -0.191  0.646  -1.449    0.977      0.005    0.008  18330.031  6208.639  1.000
1|id[1, 1384]             0.573  0.590  -0.511    1.719      0.005    0.008  17035.388  6080.331  1.001
1|id[1, 1385]             0.633  0.591  -0.493    1.706      0.004    0.008  19215.937  5344.670  1.001
1|id[1, 1386]             0.619  0.652  -0.652    1.813      0.005    0.009  16419.922  5016.924  1.000
1|id[1, 1387]             0.279  0.587  -0.848    1.350      0.004    0.008  18402.586  5179.561  1.000
1|id[1, 1389]             0.591  0.584  -0.523    1.676      0.004    0.008  17691.198  5473.387  1.001
1|id[1, 1390]            -0.148  0.569  -1.172    0.964      0.004    0.007  17479.515  5391.932  1.001
1|id[1, 1391]             0.149  0.628  -1.018    1.348      0.005    0.009  18660.714  5504.309  1.000
1|id[1, 1393]            -0.469  0.607  -1.669    0.613      0.005    0.008  16699.250  5586.867  1.001
1|id[1, 1420]             0.743  0.641  -0.438    1.938      0.004    0.009  20269.935  5554.411  1.001
1|id[1, 1421]             0.196  0.594  -0.918    1.331      0.005    0.008  17208.101  6484.335  1.000
1|id[1, 1422]             0.550  0.570  -0.537    1.588      0.004    0.007  17732.559  5953.976  1.001
1|id[1, 1424]             0.551  0.576  -0.554    1.611      0.004    0.007  17947.287  6352.116  1.001
1|id[1, 1425]            -0.299  0.593  -1.413    0.831      0.004    0.008  20204.356  5696.648  1.001
1|id[1, 1426]             0.330  0.657  -0.887    1.555      0.005    0.009  18775.298  6260.338  1.001
1|id[1, 1428]            -0.072  0.610  -1.215    1.042      0.004    0.008  18768.442  5707.456  1.000
1|id[1, 1429]            -0.366  0.638  -1.574    0.821      0.005    0.008  17701.266  5656.067  1.000
1|id[1, 1431]             0.309  0.662  -0.921    1.565      0.005    0.009  16612.192  5477.209  1.000
1|id[1, 1433]             0.330  0.595  -0.759    1.475      0.005    0.007  16396.451  6185.451  1.001
1|id[1, 1434]             0.269  0.567  -0.817    1.320      0.004    0.008  17566.090  5825.827  1.001
1|id[1, 1435]            -0.397  0.637  -1.604    0.791      0.005    0.009  17574.659  4768.541  1.001
1|id[1, 1437]             0.349  0.597  -0.724    1.513      0.005    0.008  16787.085  5545.104  1.000
1|id[1, 1443]             0.158  0.598  -0.938    1.329      0.005    0.007  14835.967  6489.676  1.001
1|id[1, 1447]            -0.327  0.641  -1.538    0.869      0.005    0.009  18003.724  4771.711  1.001
1|id[1, 1448]            -0.351  0.563  -1.431    0.692      0.004    0.008  17325.897  4999.270  1.003
1|id[1, 1449]             0.220  0.586  -0.888    1.301      0.004    0.007  17041.975  5769.427  1.000
1|id[1, 1454]            -0.688  0.620  -1.890    0.455      0.005    0.008  16449.110  5861.504  1.001
1|id[1, 1456]            -0.732  0.661  -1.977    0.520      0.005    0.009  18076.788  5442.597  1.001
1|id[1, 1457]            -0.657  0.612  -1.821    0.480      0.005    0.008  16532.980  5492.059  1.000
1|id[1, 1458]            -0.646  0.600  -1.752    0.512      0.005    0.007  16577.359  5679.073  1.000
1|id[1, 1459]            -0.286  0.637  -1.463    0.917      0.005    0.008  17587.551  5740.773  1.001
1|id[1, 1461]             0.508  0.590  -0.619    1.584      0.005    0.007  16406.153  5562.812  1.001
1|id[1, 1462]            -0.688  0.596  -1.786    0.448      0.005    0.008  16230.186  5632.571  1.001
1|id[1, 1464]            -0.404  0.624  -1.594    0.741      0.005    0.008  16624.054  6007.200  1.000
1|id[1, 1465]             1.384  0.591   0.270    2.481      0.005    0.008  14966.075  5663.875  1.000
1|id[1, 1467]             0.385  0.602  -0.704    1.561      0.004    0.008  18648.865  5476.003  1.001
1|id[1, 1468]             0.239  0.581  -0.864    1.328      0.005    0.008  15997.795  5399.644  1.001
1|id[1, 1469]             0.618  0.589  -0.511    1.698      0.004    0.008  17358.327  5449.868  1.001
1|id[1, 1470]             0.393  0.571  -0.695    1.434      0.004    0.007  18118.044  6372.514  1.000
1|id[1, 1472]             0.126  0.591  -1.087    1.163      0.005    0.008  17102.638  5152.519  1.001
1|id[1, 1473]             0.206  0.601  -0.874    1.372      0.005    0.008  16461.514  5983.965  1.000
1|id[1, 1476]            -0.515  0.615  -1.677    0.631      0.005    0.008  16966.200  5446.165  1.001
1|id[1, 1478]            -0.539  0.610  -1.687    0.572      0.005    0.008  18162.460  5517.246  1.000
1|id[1, 1492]            -0.604  0.611  -1.753    0.538      0.005    0.008  17772.841  5162.577  1.001
1|id[1, 1518]            -0.470  0.601  -1.603    0.664      0.005    0.008  17756.107  5839.694  1.001
1|id[1, 1549]            -0.376  0.622  -1.605    0.721      0.004    0.009  20648.465  5244.435  1.001
1|id[1, 1555]            -0.018  0.681  -1.303    1.249      0.005    0.009  18180.901  5257.030  1.000
1|id[1, 1559]             0.321  0.581  -0.757    1.438      0.004    0.007  17563.657  5791.107  1.001
1|id[1, 1560]             0.304  0.653  -0.917    1.547      0.005    0.009  18583.262  5539.342  1.001
1|id[1, 1561]            -0.171  0.602  -1.298    0.956      0.004    0.008  18335.249  5690.897  1.001
1|id[1, 1563]             0.674  0.655  -0.581    1.880      0.005    0.009  19072.376  5050.229  1.001
1|id[1, 1564]             0.685  0.572  -0.357    1.826      0.004    0.007  16633.809  6082.691  1.002
1|id[1, 1565]             0.582  0.578  -0.460    1.693      0.004    0.008  16991.243  5921.973  1.001
1|id[1, 1566]             0.313  0.541  -0.644    1.380      0.004    0.007  15356.360  6009.787  1.000
1|id[1, 1572]             0.178  0.637  -1.014    1.370      0.005    0.008  18204.477  6014.099  1.000
1|id[1, 1574]             0.036  0.672  -1.244    1.295      0.005    0.009  17225.109  5681.149  1.001
1|id[1, 1577]             0.283  0.583  -0.794    1.404      0.005    0.008  16338.018  5271.528  1.002
1|id[1, 1580]             0.225  0.632  -1.019    1.368      0.005    0.009  17330.903  5760.189  1.001
1|id[1, 1585]             0.452  0.634  -0.683    1.711      0.005    0.009  17402.996  5701.765  1.001
1|id[1, 1587]            -0.617  0.584  -1.738    0.480      0.005    0.008  16823.072  4885.100  1.001
1|id[1, 1588]            -0.613  0.667  -1.885    0.567      0.005    0.010  16292.093  5105.251  1.001
1|id[1, 1591]            -0.098  0.604  -1.206    1.071      0.004    0.008  18387.815  5486.861  1.002
1|id[1, 1592]            -0.202  0.641  -1.381    1.011      0.005    0.008  19031.293  5081.026  1.000
1|id[1, 1593]             0.285  0.674  -0.938    1.618      0.005    0.010  17215.227  5322.348  1.000
1|id[1, 1595]            -0.341  0.630  -1.528    0.838      0.005    0.008  16844.207  6200.801  1.001
1|id[1, 1596]            -0.229  0.748  -1.631    1.176      0.006    0.010  17324.636  5351.704  1.001
1|id[1, 1597]             0.661  0.607  -0.473    1.807      0.005    0.008  17840.677  5643.276  1.000
1|id[1, 1598]             0.431  0.573  -0.639    1.501      0.004    0.007  16192.730  6083.722  1.001
1|id[1, 1600]             0.297  0.565  -0.805    1.315      0.004    0.008  19885.308  5736.508  1.000
1|id[1, 1601]             0.128  0.537  -0.923    1.094      0.004    0.007  17428.000  5808.287  1.001
1|id[1, 1604]            -0.111  0.584  -1.237    0.956      0.004    0.008  17856.798  6070.824  1.000
1|id[1, 1611]            -0.606  0.694  -1.866    0.698      0.005    0.010  16617.840  5508.686  1.000
1|id[1, 1638]             0.076  0.620  -1.091    1.219      0.005    0.009  18209.535  5409.877  1.001
1|id[1, 1639]            -0.276  0.641  -1.509    0.911      0.005    0.008  16694.597  5992.540  1.000
1|id[1, 1640]            -0.062  0.590  -1.200    1.014      0.005    0.008  16857.181  5935.357  1.001
1|id[1, 1641]            -0.695  0.626  -1.838    0.499      0.005    0.008  17368.522  5466.920  1.000
1|id[1, 1642]            -0.388  0.625  -1.569    0.778      0.005    0.008  17124.513  5975.246  1.000
1|id[1, 1647]            -0.352  0.641  -1.602    0.789      0.005    0.008  16911.207  5485.828  1.000
1|id[1, 1648]             0.438  0.585  -0.656    1.553      0.005    0.008  16560.999  5818.971  1.000
1|id[1, 1650]            -0.180  0.588  -1.274    0.951      0.004    0.008  17469.649  5864.592  1.001
1|id[1, 1654]             0.684  0.624  -0.486    1.851      0.005    0.008  16056.981  5891.864  1.002
1|id[1, 1657]            -0.641  0.693  -1.892    0.697      0.006    0.009  15319.765  5538.776  1.001
1|id[1, 1659]             0.137  0.606  -1.021    1.255      0.005    0.008  17939.212  5670.739  1.003
1|id[1, 1662]             0.129  0.591  -0.972    1.253      0.005    0.008  15971.231  6329.514  1.001
1|id[1, 1678]             0.321  0.745  -1.053    1.727      0.005    0.010  18895.574  5281.736  1.000
1|id[1, 1679]             0.571  0.613  -0.545    1.738      0.005    0.008  17587.496  5684.625  1.000
1|id[1, 1684]             0.592  0.611  -0.577    1.729      0.005    0.008  17291.459  5933.073  1.000
1|id[1, 1688]            -0.713  0.654  -1.898    0.529      0.005    0.008  16284.981  6137.744  1.000
1|id[1, 1690]            -0.254  0.677  -1.512    1.027      0.005    0.010  17909.416  5104.622  1.000
1|id[1, 1691]             0.302  0.569  -0.748    1.389      0.004    0.008  17782.772  4918.792  1.000
1|id[1, 1694]             0.281  0.561  -0.768    1.355      0.004    0.008  18994.087  6178.387  1.000
1|id[1, 1695]            -0.266  0.636  -1.541    0.838      0.005    0.009  17280.107  5693.101  1.001
1|id[1, 1699]            -0.970  0.633  -2.160    0.223      0.005    0.009  18165.755  5614.484  1.000
1|id[1, 1700]            -0.743  0.659  -2.037    0.457      0.005    0.009  17892.236  5672.541  1.000
1|id[1, 1701]            -0.933  0.632  -2.114    0.227      0.005    0.009  18082.788  5248.899  1.001
1|id[1, 1704]             0.499  0.568  -0.551    1.562      0.004    0.007  16236.606  6127.155  1.000
1|id[1, 1710]             0.011  0.562  -1.034    1.086      0.004    0.007  17848.645  6097.679  1.000
1|id[1, 1714]             0.466  0.625  -0.721    1.596      0.005    0.008  17877.605  5590.789  1.001
1|id[1, 1715]             0.462  0.634  -0.719    1.658      0.005    0.008  14846.628  5616.127  1.000
1|id[1, 1716]             0.807  0.638  -0.318    2.077      0.005    0.008  16171.509  5735.040  1.001
1|id[1, 1717]             0.228  0.627  -0.956    1.386      0.005    0.008  16670.882  5972.295  1.000
1|id[1, 1718]             0.820  0.633  -0.321    2.051      0.005    0.008  16091.160  5966.261  1.000
1|id[1, 1719]            -0.812  0.667  -2.060    0.412      0.005    0.009  16464.294  5830.470  1.001
1|id[1, 1720]             0.060  0.620  -1.118    1.198      0.005    0.008  17141.746  6261.692  1.001
1|id[1, 1721]             0.072  0.631  -1.127    1.225      0.005    0.009  17192.250  5272.151  1.000
1|id[1, 1722]            -0.278  0.643  -1.471    0.942      0.005    0.009  17139.510  5295.618  1.001
1|id[1, 1723]            -0.100  0.636  -1.255    1.134      0.005    0.009  16187.082  5709.660  1.000
1|id[1, 1724]            -0.165  0.665  -1.431    1.071      0.005    0.009  16538.152  5584.458  1.001
1|id[1, 1725]            -0.553  0.696  -1.821    0.811      0.005    0.010  19334.757  5079.348  1.002
1|id[1, 1727]            -0.029  0.594  -1.159    1.061      0.005    0.008  15176.551  5669.222  1.000
1|id[1, 1731]            -0.538  0.617  -1.723    0.587      0.005    0.008  16284.524  5845.433  1.000
1|id[1, 1735]             0.193  0.564  -0.858    1.260      0.004    0.007  17381.395  5532.348  1.001
1|id[1, 1737]             0.221  0.563  -0.835    1.295      0.004    0.007  16684.456  5755.584  1.000
1|id[1, 1739]            -0.409  0.607  -1.523    0.753      0.005    0.008  16920.995  5912.840  1.000
1|id[1, 1740]             0.462  0.602  -0.686    1.585      0.004    0.009  19176.574  5249.824  1.002
1|id[1, 1741]             0.414  0.577  -0.687    1.464      0.004    0.007  17103.009  6700.949  1.001
1|id[1, 1742]            -0.269  0.649  -1.528    0.918      0.005    0.009  19767.590  5335.125  1.001
1|id[1, 1743]            -0.788  0.664  -2.040    0.472      0.005    0.009  17438.721  5883.329  1.001
1|id[1, 1744]             0.542  0.634  -0.611    1.769      0.005    0.009  17536.762  4765.154  1.000
1|id[1, 1745]             0.725  0.605  -0.371    1.896      0.004    0.008  20355.415  5534.478  1.001
1|id[1, 1746]            -0.964  0.637  -2.098    0.314      0.005    0.008  15857.936  5208.825  1.000
1|id[1, 1747]             0.099  0.625  -1.083    1.288      0.004    0.008  19927.718  5836.581  1.000
1|id[1, 1748]            -0.054  0.596  -1.159    1.083      0.004    0.008  18512.427  5995.928  1.000
1|id[1, 1749]             0.446  0.563  -0.609    1.500      0.004    0.007  16491.157  5802.975  1.000
1|id[1, 1750]            -0.431  0.626  -1.650    0.683      0.005    0.009  17772.271  4801.425  1.000
1|id[1, 1752]            -0.471  0.617  -1.697    0.661      0.005    0.008  17740.586  5719.585  1.001
1|id[1, 1755]            -0.372  0.732  -1.765    0.983      0.005    0.011  19639.127  4770.953  1.002
1|id[1, 1756]             0.704  0.592  -0.384    1.842      0.005    0.008  15538.510  5529.422  1.000
1|id[1, 1757]             0.507  0.579  -0.618    1.558      0.005    0.007  15028.639  5817.533  1.000
1|id[1, 1758]            -0.165  0.629  -1.387    1.004      0.004    0.009  20125.912  5312.560  1.000
1|id[1, 1759]            -0.534  0.619  -1.682    0.655      0.005    0.009  17258.001  4933.591  1.001
1|id[1, 1761]             0.271  0.576  -0.790    1.333      0.004    0.007  17391.671  5562.883  1.000
1|id[1, 1763]             0.229  0.636  -1.024    1.382      0.005    0.008  16441.728  5925.464  1.000
1|id[1, 1764]            -0.076  0.684  -1.323    1.223      0.005    0.009  18398.846  4930.619  1.001
1|id[1, 1765]             1.114  0.621  -0.070    2.272      0.005    0.008  16805.903  5887.547  1.000
1|id[1, 1766]             0.407  0.566  -0.643    1.480      0.004    0.007  18263.157  5927.608  1.000
1|id[1, 1767]             0.345  0.606  -0.780    1.461      0.004    0.008  19343.268  5585.655  1.002
1|id[1, 1768]            -0.004  0.620  -1.205    1.118      0.005    0.008  15213.010  5741.382  1.000
1|id[1, 1770]             0.670  0.588  -0.464    1.763      0.005    0.008  16409.055  5818.972  1.000
1|id[1, 1771]            -0.722  0.663  -1.999    0.468      0.005    0.008  16015.828  6393.428  1.000
1|id[1, 1772]             1.263  0.627   0.122    2.467      0.005    0.009  17188.159  5473.921  1.001
1|id[1, 1773]             0.532  0.591  -0.557    1.697      0.004    0.008  18386.387  5936.431  1.003
1|id[1, 1775]            -0.076  0.616  -1.217    1.080      0.005    0.008  15333.519  5805.529  1.000
1|id[1, 1781]             1.105  0.583  -0.012    2.171      0.005    0.008  16106.919  5917.378  1.000
1|id[1, 1788]             0.332  0.636  -0.895    1.504      0.005    0.008  18639.629  6196.608  1.000
1|id[1, 1791]            -0.519  0.613  -1.673    0.610      0.005    0.008  17732.535  6211.025  1.001
1|id[1, 1800]            -0.770  0.642  -1.951    0.450      0.005    0.008  18044.292  5653.718  1.000
