Target relationship: se -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + chronotype_desync + se + sfi + sri + waso + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.139  0.044  -0.219   -0.056      0.000    0.000  13191.520  6718.465  1.001
abs_chronotype_desync[2] -0.072  0.044  -0.154    0.012      0.000    0.000  13123.522  7124.271  1.000
1|id[1, 197]             -0.203  0.643  -1.469    0.951      0.005    0.009  16864.877  5906.346  1.001
1|id[1, 198]             -0.010  0.587  -1.099    1.098      0.004    0.008  20146.696  6330.387  1.000
1|id[1, 200]              1.209  0.629   0.014    2.378      0.005    0.009  16712.678  5286.728  1.001
1|id[1, 232]              0.178  0.646  -0.988    1.424      0.005    0.009  16550.270  5898.335  1.000
1|id[1, 233]             -0.297  0.597  -1.431    0.806      0.004    0.008  18019.512  5963.068  1.000
1|id[1, 234]              0.154  0.599  -0.908    1.338      0.005    0.008  16674.437  5042.521  1.001
1|id[1, 235]              0.185  0.701  -1.108    1.483      0.005    0.009  19748.380  5375.460  1.000
1|id[1, 236]             -0.074  0.683  -1.401    1.165      0.005    0.009  18306.118  5578.421  1.000
1|id[1, 240]             -0.497  0.608  -1.664    0.600      0.005    0.009  18258.570  4987.816  1.002
1|id[1, 256]              0.623  0.584  -0.487    1.702      0.005    0.007  15515.892  5833.645  1.002
1|id[1, 281]              0.088  0.622  -1.078    1.272      0.005    0.009  18341.077  5540.525  1.002
1|id[1, 296]              0.103  0.701  -1.310    1.321      0.005    0.010  17338.128  5494.081  1.000
1|id[1, 304]             -0.576  0.666  -1.860    0.612      0.005    0.009  15802.853  4535.730  1.000
1|id[1, 305]             -0.507  0.610  -1.650    0.616      0.004    0.008  19349.638  5626.029  1.001
1|id[1, 307]              1.108  0.630  -0.086    2.264      0.005    0.008  17502.703  5398.478  1.000
1|id[1, 309]              0.222  0.656  -1.069    1.399      0.005    0.009  19912.946  5736.478  1.002
1|id[1, 310]              0.649  0.656  -0.602    1.874      0.005    0.009  17565.178  5508.938  1.000
1|id[1, 311]             -1.100  0.616  -2.279    0.010      0.005    0.008  16469.173  5727.443  1.001
1|id[1, 312]             -0.511  0.694  -1.889    0.730      0.005    0.009  20496.938  5894.801  1.002
1|id[1, 314]              0.338  0.614  -0.867    1.462      0.005    0.008  17802.577  5515.789  1.001
1|id[1, 316]              0.531  0.600  -0.627    1.610      0.004    0.008  18554.665  5442.135  1.000
1|id[1, 320]             -0.226  0.749  -1.735    1.090      0.005    0.011  20000.929  5372.796  1.001
1|id[1, 325]             -0.515  0.683  -1.837    0.728      0.005    0.009  16038.396  5440.399  1.001
1|id[1, 355]              0.330  0.606  -0.845    1.439      0.004    0.008  19511.540  5277.741  1.001
1|id[1, 358]              0.087  0.685  -1.193    1.361      0.005    0.009  17696.064  5057.914  1.001
1|id[1, 359]              0.370  0.745  -1.078    1.753      0.006    0.010  17846.353  5701.237  1.002
1|id[1, 360]             -0.347  0.621  -1.511    0.826      0.005    0.009  18819.660  5338.987  1.001
1|id[1, 361]             -0.308  0.637  -1.468    0.903      0.005    0.008  18714.822  5399.299  1.001
1|id[1, 362]             -0.388  0.631  -1.593    0.775      0.005    0.009  18941.856  4984.157  1.000
1|id[1, 374]             -0.668  0.613  -1.885    0.446      0.005    0.008  17911.614  5278.002  1.001
1|id[1, 377]             -0.668  0.620  -1.887    0.470      0.005    0.008  17640.884  5701.512  1.001
1|id[1, 378]             -0.097  0.598  -1.208    1.030      0.004    0.007  18741.881  6084.997  1.000
1|id[1, 380]             -0.409  0.603  -1.595    0.679      0.004    0.008  18713.197  5914.145  1.000
1|id[1, 381]             -1.065  0.621  -2.253    0.064      0.005    0.008  15155.819  5876.479  1.000
1|id[1, 382]             -0.561  0.694  -1.862    0.740      0.005    0.009  19964.178  5773.358  1.001
1|id[1, 383]              0.315  0.598  -0.826    1.404      0.004    0.008  18905.703  5889.408  1.004
1|id[1, 385]              0.570  0.628  -0.582    1.778      0.005    0.008  16593.585  6082.721  1.001
1|id[1, 386]             -0.505  0.596  -1.636    0.593      0.005    0.008  17075.603  5332.885  1.001
1|id[1, 387]              0.381  0.602  -0.743    1.532      0.005    0.008  17253.064  5818.409  1.000
1|id[1, 389]             -0.650  0.655  -1.887    0.560      0.005    0.008  16574.282  5901.607  1.001
1|id[1, 391]             -0.581  0.618  -1.764    0.552      0.005    0.008  14790.392  5488.516  1.000
1|id[1, 392]              0.006  0.583  -1.020    1.174      0.004    0.008  18780.839  5746.861  1.000
1|id[1, 393]             -0.111  0.654  -1.359    1.106      0.005    0.009  17445.759  5277.702  1.001
1|id[1, 395]             -0.060  0.663  -1.253    1.252      0.005    0.009  16988.443  5786.470  1.001
1|id[1, 396]              0.307  0.650  -0.879    1.552      0.005    0.009  18775.095  6135.726  1.000
1|id[1, 397]             -0.141  0.580  -1.235    0.915      0.005    0.007  15926.117  6089.730  1.000
1|id[1, 398]              0.238  0.567  -0.762    1.333      0.004    0.007  17710.341  6305.690  1.000
1|id[1, 406]             -0.558  0.694  -1.874    0.731      0.006    0.010  16198.829  5092.738  1.001
1|id[1, 407]              0.289  0.620  -0.880    1.463      0.005    0.009  17067.859  4889.366  1.001
1|id[1, 421]              0.256  0.592  -0.838    1.377      0.005    0.007  16361.304  6215.871  1.000
1|id[1, 422]              0.154  0.581  -0.960    1.222      0.005    0.007  16195.927  5759.465  1.001
1|id[1, 423]             -0.268  0.718  -1.561    1.141      0.005    0.009  19536.643  5635.902  1.000
1|id[1, 429]             -1.001  0.606  -2.135    0.153      0.005    0.008  16133.759  5517.032  1.000
1|id[1, 431]             -0.046  0.675  -1.292    1.234      0.005    0.009  17591.028  5561.792  1.000
1|id[1, 432]              0.731  0.635  -0.425    1.933      0.005    0.008  15994.991  6036.250  1.002
1|id[1, 433]             -0.480  0.688  -1.757    0.806      0.005    0.009  18024.806  5207.443  1.001
1|id[1, 434]             -0.207  0.660  -1.465    1.008      0.005    0.008  14903.328  5685.524  1.001
1|id[1, 435]             -0.510  0.681  -1.787    0.766      0.005    0.008  16977.616  6167.105  1.000
1|id[1, 436]              0.567  0.642  -0.661    1.739      0.005    0.008  18999.743  5715.110  1.000
1|id[1, 437]             -0.609  0.653  -1.879    0.609      0.005    0.009  15583.420  5173.753  1.001
1|id[1, 438]             -0.556  0.689  -1.898    0.709      0.005    0.010  18819.158  5322.357  1.000
1|id[1, 439]             -0.594  0.683  -1.804    0.728      0.005    0.008  17165.474  6316.968  1.001
1|id[1, 440]             -0.572  0.680  -1.849    0.697      0.006    0.009  15377.448  6066.593  1.000
1|id[1, 441]              0.550  0.629  -0.610    1.729      0.005    0.007  16470.104  5952.032  1.000
1|id[1, 442]             -0.382  0.655  -1.649    0.841      0.005    0.008  17797.297  5902.685  1.000
1|id[1, 443]             -0.410  0.640  -1.611    0.786      0.005    0.008  18120.234  5944.503  1.001
1|id[1, 444]             -0.309  0.658  -1.599    0.872      0.005    0.009  18307.729  5627.599  1.000
1|id[1, 445]              0.150  0.626  -1.039    1.324      0.005    0.009  16772.010  5525.207  1.000
1|id[1, 451]              0.846  0.603  -0.271    2.014      0.005    0.008  16867.715  5468.526  1.001
1|id[1, 466]              0.015  0.585  -1.101    1.082      0.004    0.007  18006.467  5960.120  1.000
1|id[1, 483]             -0.268  0.739  -1.634    1.105      0.006    0.010  16434.064  5325.260  1.001
1|id[1, 484]             -0.014  0.624  -1.190    1.151      0.005    0.008  18274.009  6021.606  1.001
1|id[1, 485]             -0.352  0.609  -1.526    0.766      0.005    0.008  14746.754  6164.052  1.000
1|id[1, 502]             -0.807  0.599  -1.987    0.304      0.005    0.008  16863.835  5824.301  1.000
1|id[1, 503]             -0.073  0.612  -1.202    1.087      0.005    0.008  18293.480  5826.089  1.000
1|id[1, 505]             -0.896  0.623  -2.026    0.314      0.005    0.008  15998.300  6059.258  1.000
1|id[1, 507]              0.580  0.613  -0.559    1.725      0.005    0.008  16085.680  5342.459  1.001
1|id[1, 508]             -0.262  0.660  -1.518    0.952      0.005    0.009  17990.280  6072.761  1.001
1|id[1, 510]             -0.159  0.768  -1.620    1.312      0.006    0.011  16667.649  5050.546  1.001
1|id[1, 511]              0.399  0.610  -0.735    1.555      0.005    0.008  14710.202  5624.292  1.001
1|id[1, 512]              0.622  0.645  -0.588    1.820      0.005    0.009  15249.424  5769.241  1.001
1|id[1, 513]             -0.850  0.648  -2.078    0.342      0.005    0.008  16544.978  5406.155  1.001
1|id[1, 514]             -0.080  0.602  -1.190    1.065      0.005    0.007  16460.157  6213.810  1.001
1|id[1, 519]             -0.605  0.604  -1.720    0.559      0.005    0.008  18171.609  5675.093  1.001
1|id[1, 520]             -0.014  0.611  -1.225    1.055      0.004    0.008  18763.478  5471.659  1.002
1|id[1, 521]             -0.502  0.606  -1.614    0.682      0.004    0.009  19140.096  5386.899  1.001
1|id[1, 524]             -0.100  0.662  -1.402    1.081      0.005    0.008  16660.022  5665.943  1.000
1|id[1, 583]             -0.837  0.633  -2.017    0.353      0.005    0.008  15265.855  5977.919  1.000
1|id[1, 585]              0.375  0.579  -0.750    1.404      0.004    0.007  16797.338  5718.081  1.000
1|id[1, 588]              0.758  0.594  -0.285    1.934      0.005    0.007  16057.814  6081.776  1.000
1|id[1, 601]             -1.064  0.624  -2.216    0.139      0.005    0.008  17129.004  5604.420  1.000
1|id[1, 602]              0.625  0.589  -0.481    1.729      0.005    0.007  14815.992  6247.337  1.000
1|id[1, 610]             -0.592  0.587  -1.716    0.517      0.005    0.008  17045.845  5083.611  1.001
1|id[1, 611]             -0.362  0.632  -1.535    0.813      0.005    0.009  18695.190  5457.819  1.001
1|id[1, 612]             -0.485  0.585  -1.585    0.601      0.004    0.008  20154.575  5320.250  1.003
1|id[1, 615]              0.218  0.704  -1.029    1.632      0.005    0.009  17686.837  5282.663  1.001
1|id[1, 619]             -0.431  0.588  -1.564    0.653      0.005    0.007  16833.023  6260.446  1.001
1|id[1, 623]              0.275  0.578  -0.794    1.358      0.004    0.007  17111.493  5727.555  1.000
1|id[1, 626]              0.544  0.596  -0.632    1.619      0.005    0.007  16172.423  6128.051  1.000
1|id[1, 628]             -0.275  0.715  -1.599    1.070      0.005    0.010  18219.326  5510.325  1.000
1|id[1, 629]             -0.616  0.683  -1.889    0.665      0.005    0.009  18529.923  5572.647  1.001
1|id[1, 630]              0.333  0.627  -0.817    1.518      0.005    0.009  17913.938  5822.643  1.000
1|id[1, 631]             -0.275  0.638  -1.435    0.941      0.005    0.009  17494.176  5603.704  1.000
1|id[1, 632]             -0.284  0.750  -1.662    1.144      0.005    0.011  20998.950  5406.636  1.002
1|id[1, 636]              0.205  0.579  -0.856    1.327      0.004    0.008  17898.178  5936.015  1.000
1|id[1, 637]              0.213  0.576  -0.887    1.299      0.005    0.007  14744.903  6464.190  1.000
1|id[1, 640]              0.797  0.585  -0.269    1.928      0.005    0.008  15803.594  5673.859  1.001
1|id[1, 649]             -0.378  0.641  -1.543    0.844      0.005    0.009  16458.464  5499.512  1.001
1|id[1, 650]             -0.058  0.575  -1.199    0.979      0.004    0.007  18585.245  5762.316  1.002
1|id[1, 651]              0.402  0.619  -0.703    1.604      0.005    0.008  16935.291  5576.234  1.000
1|id[1, 652]             -0.512  0.587  -1.647    0.542      0.004    0.008  17484.797  5523.072  1.001
1|id[1, 654]              0.236  0.603  -0.875    1.396      0.005    0.009  17927.556  4550.838  1.003
1|id[1, 660]             -0.781  0.655  -2.008    0.435      0.005    0.008  16091.301  5610.320  1.002
1|id[1, 661]              0.127  0.614  -1.012    1.316      0.005    0.009  15998.550  5333.157  1.001
1|id[1, 663]              0.662  0.584  -0.401    1.790      0.005    0.008  16369.404  5079.201  1.000
1|id[1, 666]             -0.518  0.693  -1.787    0.793      0.005    0.009  17990.313  5556.273  1.003
1|id[1, 671]             -1.197  0.611  -2.394   -0.106      0.005    0.008  16540.158  5090.315  1.002
1|id[1, 672]             -0.524  0.605  -1.665    0.563      0.004    0.008  19216.308  6203.971  1.001
1|id[1, 673]             -0.199  0.592  -1.302    0.938      0.004    0.008  17632.394  5965.984  1.001
1|id[1, 674]             -0.105  0.524  -1.094    0.866      0.004    0.007  14617.730  5921.721  1.000
1|id[1, 675]             -0.838  0.647  -1.995    0.449      0.005    0.009  17439.660  5170.513  1.001
1|id[1, 676]              0.009  0.630  -1.167    1.194      0.005    0.009  17358.545  5335.197  1.002
1|id[1, 677]              0.037  0.629  -1.171    1.200      0.005    0.008  17325.806  5784.308  1.000
1|id[1, 683]             -0.792  0.659  -2.052    0.406      0.005    0.008  19755.561  6130.581  1.001
1|id[1, 684]             -0.022  0.603  -1.130    1.141      0.004    0.008  18301.881  5847.984  1.001
1|id[1, 686]             -0.762  0.637  -1.920    0.495      0.005    0.008  16480.117  6284.462  1.001
1|id[1, 687]             -0.707  0.650  -1.920    0.470      0.005    0.009  15855.903  5480.775  1.000
1|id[1, 690]              0.184  0.602  -0.963    1.294      0.005    0.008  15210.640  6239.878  1.000
1|id[1, 695]             -0.154  0.614  -1.304    0.992      0.004    0.009  20384.058  5587.440  1.001
1|id[1, 696]              0.620  0.645  -0.603    1.815      0.005    0.008  16444.883  5285.711  1.000
1|id[1, 697]             -0.188  0.663  -1.385    1.093      0.005    0.009  16908.795  5371.439  1.001
1|id[1, 704]              0.054  0.587  -1.038    1.197      0.004    0.008  18635.099  5576.588  1.000
1|id[1, 705]             -0.036  0.640  -1.210    1.178      0.005    0.008  17919.832  5662.665  1.001
1|id[1, 706]              0.049  0.588  -1.046    1.157      0.005    0.007  15059.072  6355.909  1.000
1|id[1, 707]             -0.372  0.627  -1.567    0.775      0.005    0.008  16150.409  6008.588  1.000
1|id[1, 708]              0.396  0.585  -0.707    1.484      0.005    0.007  15605.763  6254.266  1.001
1|id[1, 709]              0.419  0.756  -0.963    1.858      0.006    0.010  17240.186  5055.083  1.001
1|id[1, 710]              0.338  0.580  -0.770    1.399      0.004    0.008  17041.183  5090.195  1.002
1|id[1, 713]             -0.221  0.530  -1.256    0.726      0.004    0.007  16812.921  5876.679  1.001
1|id[1, 715]              0.056  0.617  -1.052    1.264      0.005    0.007  17239.838  6413.302  1.001
1|id[1, 716]             -0.680  0.655  -1.926    0.530      0.005    0.009  18735.359  5757.016  1.000
1|id[1, 717]             -0.336  0.601  -1.462    0.781      0.005    0.008  17572.528  6030.310  1.000
1|id[1, 718]              0.685  0.611  -0.488    1.803      0.005    0.008  16671.557  5933.142  1.000
1|id[1, 719]              0.348  0.607  -0.835    1.440      0.005    0.008  16493.168  5431.812  1.001
1|id[1, 722]             -0.118  0.670  -1.340    1.179      0.005    0.010  16488.415  5291.092  1.000
1|id[1, 723]              0.690  0.575  -0.429    1.706      0.005    0.007  15264.831  5594.652  1.000
1|id[1, 725]             -0.450  0.724  -1.796    0.913      0.005    0.010  18347.256  5025.685  1.001
1|id[1, 727]             -0.533  0.680  -1.852    0.701      0.005    0.009  18168.970  5464.008  1.000
1|id[1, 730]              0.092  0.591  -0.992    1.223      0.005    0.007  15649.976  5676.464  1.001
1|id[1, 732]              0.056  0.612  -1.141    1.157      0.005    0.008  17260.229  6083.190  1.001
1|id[1, 733]              0.721  0.597  -0.446    1.830      0.005    0.009  16828.132  5600.559  1.001
1|id[1, 741]             -0.764  0.646  -2.005    0.444      0.005    0.009  18222.102  5462.114  1.001
1|id[1, 743]             -1.023  0.617  -2.173    0.134      0.005    0.009  17597.987  5067.799  1.000
1|id[1, 744]              0.140  0.641  -1.068    1.319      0.005    0.008  17384.059  5493.035  1.000
1|id[1, 745]              0.206  0.605  -0.944    1.356      0.004    0.008  19478.326  5471.951  1.001
1|id[1, 756]             -0.306  0.627  -1.446    0.904      0.005    0.008  16240.685  6169.422  1.001
1|id[1, 757]             -0.047  0.558  -1.099    0.997      0.004    0.007  16472.471  6402.689  1.000
1|id[1, 783]             -0.882  0.634  -2.085    0.283      0.005    0.009  18180.699  5546.670  1.000
1|id[1, 797]             -0.031  0.607  -1.113    1.193      0.004    0.008  19847.097  6192.107  1.000
1|id[1, 803]             -0.361  0.573  -1.430    0.675      0.004    0.007  17293.957  5945.839  1.001
1|id[1, 806]             -0.716  0.579  -1.879    0.323      0.005    0.008  15557.392  5094.927  1.000
1|id[1, 807]              0.554  0.603  -0.515    1.736      0.004    0.007  18131.296  6322.514  1.000
1|id[1, 808]              0.550  0.594  -0.535    1.711      0.005    0.007  16661.074  6181.167  1.000
1|id[1, 810]             -0.343  0.625  -1.514    0.803      0.005    0.008  17198.036  5399.765  1.000
1|id[1, 815]              0.294  0.564  -0.808    1.292      0.004    0.007  17350.984  6040.430  1.001
1|id[1, 842]              0.270  0.562  -0.730    1.378      0.004    0.008  20008.550  5879.101  1.000
1|id[1, 843]              0.425  0.577  -0.617    1.559      0.004    0.007  18433.128  5876.631  1.002
1|id[1, 845]             -0.617  0.632  -1.757    0.614      0.005    0.008  15670.166  6137.793  1.000
1|id[1, 858]             -0.389  0.632  -1.609    0.764      0.005    0.008  15941.519  5944.356  1.001
1|id[1, 859]              0.100  0.618  -1.049    1.265      0.005    0.008  16537.274  5438.638  1.000
1|id[1, 860]              0.346  0.609  -0.786    1.488      0.005    0.008  18040.042  6003.669  1.001
1|id[1, 861]              0.180  0.709  -1.123    1.513      0.005    0.009  19395.394  5909.927  1.001
1|id[1, 862]             -0.037  0.619  -1.195    1.119      0.005    0.008  16764.470  5663.510  1.001
1|id[1, 863]             -0.691  0.652  -1.899    0.525      0.005    0.009  17137.963  5792.521  1.002
1|id[1, 864]             -0.159  0.595  -1.302    0.921      0.005    0.008  16893.254  5166.244  1.001
1|id[1, 865]             -0.101  0.579  -1.202    0.992      0.004    0.008  19543.146  5167.251  1.000
1|id[1, 866]              0.220  0.590  -0.894    1.311      0.004    0.008  18210.787  5434.146  1.002
1|id[1, 867]              0.408  0.583  -0.688    1.510      0.004    0.008  17396.590  5660.978  1.001
1|id[1, 868]              0.150  0.534  -0.809    1.202      0.004    0.007  17304.675  5921.746  1.000
1|id[1, 870]             -0.146  0.594  -1.275    0.941      0.004    0.008  19408.878  5537.948  1.000
1|id[1, 899]             -0.575  0.598  -1.665    0.546      0.005    0.007  14874.807  6465.038  1.001
1|id[1, 903]             -0.469  0.692  -1.734    0.875      0.005    0.009  18957.823  5191.717  1.001
1|id[1, 905]              0.396  0.572  -0.645    1.515      0.004    0.007  18872.244  6159.678  1.000
1|id[1, 906]             -0.699  0.644  -1.900    0.485      0.005    0.008  17725.433  5750.536  1.000
1|id[1, 908]              0.128  0.614  -1.013    1.286      0.005    0.008  14467.892  5663.611  1.000
1|id[1, 910]             -0.027  0.659  -1.271    1.177      0.005    0.009  19695.901  5685.352  1.000
1|id[1, 920]             -0.052  0.609  -1.248    1.049      0.005    0.008  17646.036  5859.863  1.001
1|id[1, 921]              0.189  0.595  -0.885    1.338      0.004    0.007  17671.034  5920.844  1.000
1|id[1, 922]             -0.128  0.597  -1.262    0.978      0.004    0.008  18139.301  5536.703  1.000
1|id[1, 923]             -0.582  0.669  -1.805    0.710      0.005    0.008  19106.239  5971.348  1.000
1|id[1, 932]              0.139  0.654  -1.112    1.334      0.005    0.009  18994.488  5740.435  1.000
