Target relationship: abs_chronotype_desync -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + patient_chronotype + sex + sri + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.134  0.042  -0.216   -0.056      0.000    0.000  15248.143  6242.181  1.000
abs_chronotype_desync[2] -0.050  0.041  -0.124    0.030      0.000    0.000  14856.925  6708.018  1.001
1|id[1, 233]              0.116  0.575  -0.909    1.272      0.004    0.008  17301.970  5308.744  1.001
1|id[1, 234]              0.493  0.574  -0.624    1.535      0.005    0.008  15633.723  4826.935  1.000
1|id[1, 235]              0.058  0.710  -1.342    1.331      0.006    0.010  15733.307  5676.982  1.000
1|id[1, 236]             -0.099  0.682  -1.445    1.167      0.005    0.010  18352.584  4799.691  1.000
1|id[1, 240]             -0.484  0.592  -1.630    0.567      0.004    0.008  19454.248  5322.713  1.000
1|id[1, 256]              0.753  0.571  -0.262    1.880      0.005    0.007  16238.204  5705.072  1.001
1|id[1, 281]             -0.044  0.617  -1.171    1.124      0.005    0.008  17623.830  5234.975  1.000
1|id[1, 296]              0.057  0.681  -1.257    1.305      0.005    0.009  18549.155  4964.707  1.001
1|id[1, 304]             -0.632  0.663  -1.843    0.651      0.005    0.008  15514.808  5542.461  1.001
1|id[1, 305]             -0.525  0.598  -1.642    0.576      0.005    0.007  14864.601  5955.381  1.000
1|id[1, 307]              1.376  0.595   0.287    2.513      0.005    0.007  14971.438  5828.143  1.000
1|id[1, 309]              0.335  0.633  -0.862    1.526      0.005    0.009  17234.430  5053.224  1.001
1|id[1, 310]              0.558  0.636  -0.585    1.821      0.005    0.008  14914.069  5368.159  1.000
1|id[1, 311]             -0.945  0.628  -2.178    0.199      0.005    0.008  17248.218  5129.212  1.000
1|id[1, 312]             -0.551  0.660  -1.793    0.700      0.005    0.009  18361.542  5110.434  1.000
1|id[1, 314]              0.310  0.618  -0.856    1.486      0.005    0.009  16886.832  4991.019  1.000
1|id[1, 316]              0.512  0.604  -0.610    1.662      0.005    0.008  15823.154  5686.858  1.000
1|id[1, 320]             -0.197  0.733  -1.522    1.224      0.006    0.009  14823.775  5660.163  1.000
1|id[1, 325]             -0.423  0.693  -1.734    0.864      0.005    0.010  18163.518  5421.630  1.001
1|id[1, 355]              0.623  0.595  -0.492    1.750      0.005    0.008  16128.085  5518.831  1.000
1|id[1, 358]              0.071  0.681  -1.216    1.327      0.005    0.010  17936.405  5262.934  1.001
1|id[1, 359]              0.367  0.752  -1.032    1.802      0.006    0.010  17883.373  5359.775  1.002
1|id[1, 360]             -0.351  0.632  -1.524    0.876      0.005    0.008  17990.800  5138.804  1.001
1|id[1, 361]             -0.415  0.638  -1.564    0.801      0.005    0.008  17559.428  6071.150  1.000
1|id[1, 362]             -0.508  0.607  -1.608    0.667      0.005    0.008  16522.954  6243.507  1.000
1|id[1, 374]             -0.520  0.603  -1.639    0.650      0.005    0.008  15436.241  5750.127  1.001
1|id[1, 377]             -0.518  0.608  -1.596    0.660      0.005    0.008  15014.642  5803.847  1.000
1|id[1, 378]              0.040  0.609  -1.117    1.154      0.005    0.008  15916.359  5825.834  1.000
1|id[1, 380]             -0.434  0.620  -1.636    0.698      0.005    0.008  15550.020  5567.238  1.004
1|id[1, 381]             -1.053  0.622  -2.317    0.045      0.005    0.008  15854.734  5834.439  1.000
1|id[1, 382]             -0.548  0.687  -1.837    0.722      0.005    0.009  17847.021  5789.225  1.000
1|id[1, 383]              0.230  0.586  -0.895    1.287      0.005    0.007  12888.293  6333.234  1.000
1|id[1, 385]              0.492  0.647  -0.671    1.724      0.005    0.009  16013.089  5898.364  1.001
1|id[1, 386]             -0.460  0.605  -1.587    0.678      0.005    0.008  17424.115  5822.113  1.000
1|id[1, 387]              0.626  0.588  -0.468    1.740      0.005    0.007  16563.765  5315.550  1.001
1|id[1, 389]             -0.692  0.657  -1.919    0.536      0.005    0.008  15635.571  5620.890  1.002
1|id[1, 391]             -0.394  0.613  -1.522    0.769      0.005    0.008  15305.677  5719.631  1.000
1|id[1, 392]              0.126  0.584  -1.002    1.173      0.005    0.008  16390.915  6011.508  1.001
1|id[1, 393]             -0.011  0.663  -1.306    1.184      0.005    0.009  17420.315  5284.730  1.001
1|id[1, 395]              0.003  0.686  -1.259    1.322      0.005    0.010  17462.466  5036.656  1.001
1|id[1, 396]              0.190  0.647  -0.972    1.498      0.005    0.009  17340.773  5295.759  1.001
1|id[1, 397]              0.155  0.585  -0.959    1.265      0.004    0.008  17530.894  6027.452  1.000
1|id[1, 398]              0.307  0.571  -0.729    1.397      0.004    0.007  17481.295  5436.158  1.001
