feature,importance
episode_hr_mean,0.11578466499112744
nadir_hr,0.10899516413140768
sfi,0.10749265964802224
duration_secs,0.10308406778894107
patient_chronotype,0.1016575235193578
se,0.09875703187001285
chronotype_desync,0.0954221509581492
abs_chronotype_desync,0.09270018235019271
waso,0.08989929694216467
age,0.08620725780062444
